dataline,play,playerlinenumber,actscene,actsceneline,player,playerline,annotation,highlight,objectid,performance-tip
66997,A Midsummer nights dream,75,1.1,,ACT,ACT I,,,,
66998,A Midsummer nights dream,75,1.1,,SCENE,SCENE I. Athens. The palace of THESEUS.,,,,
66999,A Midsummer nights dream,75,1.1,,StageDirection,"Enter THESEUS, HIPPOLYTA, PHILOSTRATE, and Attendants",,,,
67000,A Midsummer nights dream,1,1.1,1.1.1,THESEUS,"Now, fair Hippolyta, our nuptial hour",,,,
67001,A Midsummer nights dream,1,1.1,1.1.2,THESEUS,"Draws on apace, four happy days bring in","This reference to the moon is both a literal way in which the time is marked and a metaphorical way in which to establish the imagery of passage into the dream stage. The beginning of the play takes place prior to the new moon, but by the end of the events, after all of the confusion and intrigue is past, a new phase is in effect and sees the celebration of a blessed new marriage taking place under its celestial canopy.",,,
67002,A Midsummer nights dream,1,1.1,1.1.3,THESEUS,"Another moon: but, O, methinks, how slow",ibid1,,,
67003,A Midsummer nights dream,1,1.1,1.1.4,THESEUS,This old moon wanes! she lingers my desires,,,,
67004,A Midsummer nights dream,1,1.1,1.1.5,THESEUS,Like to a step-dame or a dowager,,,,
67005,A Midsummer nights dream,1,1.1,1.1.6,THESEUS,Long withering out a young man revenue.,,,,
67006,A Midsummer nights dream,2,1.1,1.1.7,HIPPOLYTA,"Four days will quickly steep themselves in night,",,,,
67007,A Midsummer nights dream,2,1.1,1.1.8,HIPPOLYTA,"Four nights will quickly dream away the time,",You must read [this pdf](/dramaturgy/item.html?id=midsummer007) to learn more.,,midsummer0007,
67008,A Midsummer nights dream,2,1.1,1.1.9,HIPPOLYTA,"And then the moon, like to a silver bow",,,,
67009,A Midsummer nights dream,2,1.1,1.1.10,HIPPOLYTA,"New-bent in heaven, shall behold the night",,,midsummer0001,
67010,A Midsummer nights dream,2,1.1,1.1.11,HIPPOLYTA,Of our solemnities.,,,,
67011,A Midsummer nights dream,3,1.1,1.1.12,THESEUS,"Go, Philostrate,",,,,
67012,A Midsummer nights dream,3,1.1,1.1.13,THESEUS,"Stir up the Athenian youth to merriments,",,,,
67013,A Midsummer nights dream,3,1.1,1.1.14,THESEUS,"Awake the pert and nimble spirit of mirth,",,,,
67014,A Midsummer nights dream,3,1.1,1.1.15,THESEUS,"Turn melancholy forth to funerals,",,,,
67015,A Midsummer nights dream,3,1.1,1.1.16,THESEUS,The pale companion is not for our pomp.,,,,
67016,A Midsummer nights dream,3,1.1,,StageDirection,Exit PHILOSTRATE,,,,
67017,A Midsummer nights dream,3,1.1,1.1.17,THESEUS,"Hippolyta, I woo'd thee with my sword,",These lines are in reference to Theseus overwhelming the Amazons in battle and subsequently marrying Hippolyta,,,
67018,A Midsummer nights dream,3,1.1,1.1.18,THESEUS,"And won thy love, doing thee injuries,",ibid1,,,
67019,A Midsummer nights dream,3,1.1,1.1.19,THESEUS,"But I will wed thee in another key,",,,,
