objectid,player,name
midsummer_all,ALL,All
midsummer_bottom,BOTTOM,Bottom
midsummer_cobweb,COBWEB,Cobweb
midsummer_demetrius,DEMETRIUS,Demetrius
midsummer_egeus,EGEUS,Egeus
midsummer_fairy,Fairy,Fairy
midsummer_flute,FLUTE,Flute
midsummer_helena,HELENA,Helena
midsummer_hermia,HERMIA,Hermia
midsummer_hippolyta,HIPPOLYTA,Hippolyta
midsummer_lion,Lion,Lion
midsummer_lysander,LYSANDER,Lysander
midsummer_moonshine,Moonshine,Moonshine
midsummer_moth,MOTH,Moth
midsummer_mustardseed,MUSTARDSEED,Mustardseed
midsummer_oberon,OBERON,Oberon
midsummer_peaseblossom,PEASEBLOSSOM,Peaseblossom
midsummer_philostrate,PHILOSTRATE,Philostrate
midsummer_puck,PUCK,Puck
midsummer_pyramus,Pyramus,Pyramus
midsummer_quince,QUINCE,Quince
midsummer_snout,SNOUT,Snout
midsummer_snug,SNUG,Snug
midsummer_starveling,STARVELING,Starveling
midsummer_theseus,THESEUS,Theseus
midsummer_thisbe,Thisbe,Thisbe
midsummer_titania,TITANIA,Titania
midsummer_wall,Wall,Wall
