play,dataline,actsceneline,actscene,act,scene,line,player,playerline,annotation,highlight,objectid
Romeo and Juliet,85282,,1.0,1,0,,StageDirection,ACT I,,,
Romeo and Juliet,85283,,1.0,1,0,,StageDirection,PROLOGUE,,,
Romeo and Juliet,85284,1.0.1,1.0,1,0,1,RICHMOND,"Two households, both alike in dignity,",This line is not working because it's first being searched for some reason; need to figure that out in the code,households,midsummer002
Romeo and Juliet,85285,1.0.2,1.0,1,0,2,RICHMOND,"In fair Verona, where we lay our scene,",does this line work? Let's see. Her'es a lot of text to see the overflow of everything the overflow being the overflow and the everything being [the endless nothing we all are](https://www.poetryfoundation.org/poems/45235/the-snow-man),where,midsummer0010
Romeo and Juliet,85286,1.0.3,1.0,1,0,3,RICHMOND,"From ancient grudge break to new mutiny,",,,
Romeo and Juliet,85287,1.0.4,1.0,1,0,4,RICHMOND,Where civil blood makes civil hands unclean.,,,
Romeo and Juliet,85288,1.0.5,1.0,1,0,5,RICHMOND,From forth the fatal loins of these two foes,,,
Romeo and Juliet,85289,1.0.6,1.0,1,0,6,RICHMOND,"A pair of star-cross'd lovers take their life,",,,
Romeo and Juliet,85290,1.0.7,1.0,1,0,7,RICHMOND,Whose misadventured piteous overthrows,,,
Romeo and Juliet,85291,1.0.8,1.0,1,0,8,RICHMOND,Do with their death bury their parents' strife.,,,
Romeo and Juliet,85292,1.0.9,1.0,1,0,9,RICHMOND,"The fearful passage of their death-mark'd love,",,,
Romeo and Juliet,85293,1.0.10,1.0,1,0,10,RICHMOND,"And the continuance of their parents' rage,",,,
Romeo and Juliet,85294,1.0.11,1.0,1,0,11,RICHMOND,"Which, but their children's end, nought could remove,",,,
Romeo and Juliet,85295,1.0.12,1.0,1,0,12,RICHMOND,"Is now the two hours' traffic of our stage,",,,
Romeo and Juliet,85296,1.0.13,1.0,1,0,13,RICHMOND,"The which if you with patient ears attend,",,,
Romeo and Juliet,85297,1.0.14,1.0,1,0,14,RICHMOND,"What here shall miss, our toil shall strive to mend.",,,
Romeo and Juliet,85298,,1.0,1,0,,StageDirection,SCENE I. Verona. A public place.,,,
Romeo and Juliet,85299,,1.1,1,1,,StageDirection,"Enter SAMPSON and GREGORY, of the house of Capulet, armed with swords and bucklers",,,
Romeo and Juliet,85300,1.1.1,1.1,1,1,1,SAMPSON,"Gregory, o' my word, we'll not carry coals.",,,
Romeo and Juliet,85301,1.1.2,1.1,1,1,2,GREGORY,"No, for then we should be colliers.",IS this line working? let's find out by writing a bunch of nonsense and then clicking on it and clicking on it,colliers,
Romeo and Juliet,85302,1.1.3,1.1,1,1,3,SAMPSON,"I mean, an we be in choler, we'll draw.",,,
Romeo and Juliet,85303,1.1.4,1.1,1,1,4,GREGORY,"Ay, while you live, draw your neck out o' the collar.",,,
Romeo and Juliet,85304,1.1.5,1.1,1,1,5,SAMPSON,"I strike quickly, being moved.",,,
Romeo and Juliet,85305,1.1.6,1.1,1,1,6,GREGORY,But thou art not quickly moved to strike.,,,
Romeo and Juliet,85306,1.1.7,1.1,1,1,7,SAMPSON,A dog of the house of Montague moves me.,,,
Romeo and Juliet,85307,1.1.8,1.1,1,1,8,GREGORY,"To move is to stir, and to be valiant is to stand:",,,
Romeo and Juliet,85308,1.1.9,1.1,1,1,9,GREGORY,"therefore, if thou art moved, thou runn'st away.",,,
Romeo and Juliet,85309,1.1.10,1.1,1,1,10,SAMPSON,A dog of that house shall move me to stand: I will,,,
Romeo and Juliet,85310,1.1.11,1.1,1,1,11,SAMPSON,take the wall of any man or maid of Montague's.,,,
Romeo and Juliet,85311,1.1.12,1.1,1,1,12,GREGORY,"That shows thee a weak slave, for the weakest goes",,,
Romeo and Juliet,85312,1.1.13,1.1,1,1,13,GREGORY,to the wall.,,,
Romeo and Juliet,85313,1.1.14,1.1,1,1,14,SAMPSON,"True, and therefore women, being the weaker vessels,",,,
Romeo and Juliet,85314,1.1.15,1.1,1,1,15,SAMPSON,are ever thrust to the wall: therefore I will push,,,
Romeo and Juliet,85315,1.1.16,1.1,1,1,16,SAMPSON,"Montague's men from the wall, and thrust his maids",,,
Romeo and Juliet,85316,1.1.17,1.1,1,1,17,SAMPSON,to the wall.,,,
Romeo and Juliet,85317,1.1.18,1.1,1,1,18,GREGORY,The quarrel is between our masters and us their men.,,,
Romeo and Juliet,85318,1.1.19,1.1,1,1,19,SAMPSON,"'Tis all one, I will show myself a tyrant: when I",,,
Romeo and Juliet,85319,1.1.20,1.1,1,1,20,SAMPSON,"have fought with the men, I will be cruel with the",,,
Romeo and Juliet,85320,1.1.21,1.1,1,1,21,SAMPSON,"maids, and cut off their heads.",,,
Romeo and Juliet,85321,1.1.22,1.1,1,1,22,GREGORY,The heads of the maids?,,,
Romeo and Juliet,85322,1.1.23,1.1,1,1,23,SAMPSON,"Ay, the heads of the maids, or their maidenheads,",,,
Romeo and Juliet,85323,1.1.24,1.1,1,1,24,SAMPSON,take it in what sense thou wilt.,,,
Romeo and Juliet,85324,1.1.25,1.1,1,1,25,GREGORY,They must take it in sense that feel it.,,,
Romeo and Juliet,85325,1.1.26,1.1,1,1,26,SAMPSON,Me they shall feel while I am able to stand: and,,,
Romeo and Juliet,85326,1.1.27,1.1,1,1,27,SAMPSON,'tis known I am a pretty piece of flesh.,,,
Romeo and Juliet,85327,1.1.28,1.1,1,1,28,GREGORY,"'Tis well thou art not fish, if thou hadst, thou",,,
Romeo and Juliet,85328,1.1.29,1.1,1,1,29,GREGORY,hadst been poor John. Draw thy tool! here comes,,,
Romeo and Juliet,85329,1.1.30,1.1,1,1,30,GREGORY,two of the house of the Montagues.,,,
Romeo and Juliet,85330,1.1.31,1.1,1,1,31,SAMPSON,"My naked weapon is out: quarrel, I will back thee.",,,
Romeo and Juliet,85331,1.1.32,1.1,1,1,32,GREGORY,How! turn thy back and run?,,,
Romeo and Juliet,85332,1.1.33,1.1,1,1,33,SAMPSON,Fear me not.,,,
Romeo and Juliet,85333,1.1.34,1.1,1,1,34,GREGORY,"No, marry, I fear thee!",,,
Romeo and Juliet,85334,1.1.35,1.1,1,1,35,SAMPSON,"Let us take the law of our sides, let them begin.",,,
Romeo and Juliet,85335,1.1.36,1.1,1,1,36,GREGORY,"I will frown as I pass by, and let them take it as",,,
Romeo and Juliet,85336,1.1.37,1.1,1,1,37,GREGORY,they list.,,,
Romeo and Juliet,85337,1.1.38,1.1,1,1,38,SAMPSON,"Nay, as they dare. I will bite my thumb at them,",,,
Romeo and Juliet,85338,1.1.39,1.1,1,1,39,SAMPSON,"which is a disgrace to them, if they bear it.",,,
Romeo and Juliet,85339,,1.1,1,1,,StageDirection,Enter ABRAHAM and BALTHASAR,,,
Romeo and Juliet,85340,1.1.40,1.1,1,1,40,ABRAHAM,"Do you bite your thumb at us, sir?",,,
Romeo and Juliet,85341,1.1.41,1.1,1,1,41,SAMPSON,"I do bite my thumb, sir.",,,
Romeo and Juliet,85342,1.1.42,1.1,1,1,42,ABRAHAM,"Do you bite your thumb at us, sir?",,,
Romeo and Juliet,85343,1.1.43,1.1,1,1,43,SAMPSON,"[Aside to GREGORY]  Is the law of our side, if I say",,,
Romeo and Juliet,85344,1.1.44,1.1,1,1,44,SAMPSON,ay?,,,
Romeo and Juliet,85345,1.1.45,1.1,1,1,45,GREGORY,No.,,,
Romeo and Juliet,85346,1.1.46,1.1,1,1,46,SAMPSON,"No, sir, I do not bite my thumb at you, sir, but I",,,
Romeo and Juliet,85347,1.1.47,1.1,1,1,47,SAMPSON,"bite my thumb, sir.",,,
